"Livestock: Retail Prices of Agricultural Commodities"

"Region/Province","Commodity","2012 January","2012 February","2012 March","2012 April","2012 May","2012 June","2012 July","2012 August","2012 September","2012 October","2012 November","2012 December","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2014 January","2014 February","2014 March","2014 April","2014 May","2014 June","2014 July","2014 August","2014 September","2014 October","2014 November","2014 December","2015 January","2015 February","2015 March","2015 April","2015 May","2015 June","2015 July","2015 August","2015 September","2015 October","2015 November","2015 December","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2017 January","2017 February","2017 March","2017 April","2017 May","2017 June","2017 July","2017 August","2017 September","2017 October","2017 November","2017 December"
"PHILIPPINES","FRESH, BEEF, MEAT WITH BONES, 1 KG",178.81,179.04,179.01,179.56,179.78,179.74,180.37,180.49,180.90,181.14,181.51,182.14,182.68,183.29,183.79,184.84,185.70,185.69,186.16,186.81,188.21,188.20,188.57,188.73,188.98,189.34,190.43,191.11,192.28,192.99,192.92,193.31,193.17,192.72,193.10,194.00,194.53,194.74,195.04,195.65,195.52,195.53,196.03,196.64,196.91,197.31,198.09,197.72,198.93,197.91,198.06,197.65,198.08,199.37,200.23,200.42,200.89,201.59,202.22,202.97,204.14,204.95,205.86,208.28,210.31,212.65,213.87,214.99,215.81,216.58,217.95,219.90
"PHILIPPINES","FRESH, BEEF, PURE MEAT, 1 KG",218.01,218.40,218.79,219.70,219.81,220.21,220.24,221.14,221.35,222.00,222.59,222.89,223.36,223.78,223.68,224.89,226.04,226.70,227.33,227.51,227.24,227.32,227.49,228.25,229.26,229.61,230.46,231.66,232.70,233.28,233.93,234.87,235.21,234.88,235.37,235.97,237.16,236.72,236.99,236.24,236.25,236.66,237.14,236.70,237.33,238.15,238.53,239.18,240.29,240.16,240.50,241.04,241.09,241.84,242.83,243.44,243.89,244.41,245.19,246.36,247.88,249.03,249.62,252.21,254.27,254.87,255.37,255.22,257.70,259.17,260.16,262.27
"PHILIPPINES","FRESH, PORK PATA (FORE/FRONT), 1 KG",120.07,119.86,120.12,121.56,121.26,119.88,120.56,121.18,121.70,121.46,122.07,123.48,123.10,123.12,123.15,123.57,125.75,128.57,128.89,130.17,129.89,128.56,127.03,129.96,129.80,130.59,130.74,133.18,140.03,140.95,140.89,142.77,148.66,148.18,148.52,151.02,152.27,150.13,149.45,149.86,154.19,150.72,154.36,161.41,161.65,157.90,156.42,158.29,159.07,156.70,155.60,156.72,158.62,159.06,159.54,159.54,159.26,156.20,156.36,156.26,157.50,157.23,158.63,162.94,169.68,170.55,170.97,173.02,173.34,172.08,172.51,173.34
"PHILIPPINES","FRESH, PORK, MEAT WITH BONES, 1 KG",156.23,155.87,156.05,155.25,155.58,155.76,155.79,156.40,156.23,156.38,156.86,157.21,157.79,158.36,159.07,160.50,161.66,162.51,163.33,163.99,163.95,164.01,163.65,164.22,164.39,165.38,166.16,168.50,170.83,172.65,173.15,174.16,173.95,174.29,173.91,174.61,174.50,173.94,173.81,174.00,173.93,173.72,174.22,174.16,174.34,173.53,174.06,173.70,173.92,173.12,172.46,172.70,172.71,173.03,173.78,173.98,173.47,173.54,173.33,173.25,173.62,174.45,175.47,178.03,180.48,182.65,182.66,182.63,182.93,183.05,183.83,185.30
"PHILIPPINES","FRESH, PORK, PURE MEAT, 1 KG",174.82,174.54,174.31,173.44,173.28,173.79,173.87,173.90,174.14,173.86,173.87,174.21,174.18,175.09,175.81,177.23,178.65,180.30,180.82,181.57,181.83,181.92,182.28,182.41,183.00,183.76,185.03,187.20,190.27,192.01,192.26,193.77,193.94,193.09,192.95,193.01,192.91,192.87,192.42,192.05,192.14,192.23,192.69,192.37,192.28,191.94,192.11,192.21,191.86,191.76,190.79,190.20,190.49,189.98,189.33,189.56,189.66,189.11,189.13,189.10,189.49,189.60,192.14,195.62,199.04,201.24,203.36,204.08,203.65,204.04,204.64,205.78
"..NATIONAL CAPITAL REGION (NCR)","FRESH, BEEF, MEAT WITH BONES, 1 KG",207.54,207.54,207.54,207.54,207.54,207.54,209.73,212.08,212.13,212.13,212.13,212.13,212.13,211.81,211.76,212.31,212.42,212.42,212.20,211.85,212.81,212.87,214.81,215.38,216.98,216.98,216.98,220.21,219.43,219.43,219.51,219.54,220.00,219.72,220.45,220.78,221.11,224.79,223.89,230.01,229.34,228.79,232.19,237.01,235.32,237.60,239.70,242.77,240.75,235.04,233.42,232.75,238.96,240.14,243.15,244.01,245.10,249.00,252.45,256.44,258.30,257.26,258.93,259.79,260.72,261.13,261.31,262.38,265.28,267.81,271.38,275.03
"..NATIONAL CAPITAL REGION (NCR)","FRESH, BEEF, PURE MEAT, 1 KG",256.64,256.81,256.62,256.62,256.62,256.62,258.38,260.96,261.24,261.24,261.24,261.24,261.24,261.52,261.60,261.83,262.05,262.05,261.94,261.72,261.40,261.40,261.40,261.62,262.06,262.06,262.06,262.18,262.29,262.91,261.97,261.66,261.66,262.23,263.75,264.19,264.63,265.02,263.55,265.58,266.52,266.30,269.24,269.25,270.39,270.29,270.81,271.90,272.89,273.07,275.68,277.59,277.93,281.22,282.27,283.09,284.82,288.00,289.83,293.78,297.01,297.08,300.33,300.98,303.25,303.69,303.57,306.10,310.81,313.57,317.12,319.07
"..NATIONAL CAPITAL REGION (NCR)","FRESH, PORK PATA (FORE/FRONT), 1 KG",136.49,136.49,136.52,136.40,136.40,136.66,137.85,139.26,139.40,139.57,139.63,139.57,139.74,140.74,142.18,142.99,143.85,145.07,145.29,145.40,145.24,145.02,145.40,145.40,145.40,145.85,146.46,150.10,157.96,159.02,158.85,158.51,158.46,157.41,157.18,157.18,157.18,155.77,154.99,154.35,154.15,154.21,155.96,156.28,156.98,156.99,157.55,158.18,157.55,157.55,157.55,158.01,158.70,158.78,158.97,158.97,158.97,158.97,159.02,159.11,159.13,159.13,159.13,159.13,159.36,159.41,159.41,159.67,159.77,159.77,159.77,159.77
"..NATIONAL CAPITAL REGION (NCR)","FRESH, PORK, MEAT WITH BONES, 1 KG",137.87,137.87,137.76,137.76,137.76,138.01,139.20,140.47,140.76,140.76,140.95,140.98,140.98,142.09,143.54,144.28,145.20,146.42,146.65,146.53,146.37,146.15,146.53,146.53,146.53,146.76,147.15,150.30,158.10,159.60,159.43,159.10,158.60,157.55,157.32,157.32,157.32,156.71,156.02,154.54,155.07,154.07,157.32,156.92,158.51,158.10,160.13,159.80,158.49,157.88,152.96,153.81,154.24,151.92,154.10,155.21,155.96,156.00,157.10,157.54,157.39,157.93,161.77,165.83,170.55,171.67,171.83,171.24,171.47,171.22,170.56,170.11
"..NATIONAL CAPITAL REGION (NCR)","FRESH, PORK, PURE MEAT, 1 KG",170.61,169.64,169.56,169.03,169.00,170.58,174.50,173.72,174.89,173.45,173.33,172.17,172.39,173.14,175.22,177.23,178.58,180.56,181.23,181.86,181.44,181.67,181.44,181.56,181.56,181.59,182.84,188.97,200.67,202.56,203.11,203.03,200.50,195.22,193.36,193.33,193.22,192.86,191.89,189.03,190.45,191.08,194.40,193.00,194.56,194.47,194.73,194.50,193.00,192.28,190.33,189.26,188.53,185.80,187.25,188.22,189.19,188.00,189.19,188.71,189.71,191.69,196.42,204.44,209.78,215.72,215.61,215.69,214.89,213.83,213.78,213.33
